freesound_id,id,path,start_sample,end_sample,loudness,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
574234__kbrecordzz__groove-metal-break-6.wav,574234__kbrecordzz__groove-metal-break-6.wav_f68,574234__kbrecordzz__groove-metal-break-6.wav,285056,289248,0.009577240652710426,-584.4682,136.50787,0.61466515,43.10942,12.102738,23.426413,24.879925,14.899649,4.370459,9.129887,0.917677,7.113299,7.857424
574234__kbrecordzz__groove-metal-break-6.wav,574234__kbrecordzz__groove-metal-break-6.wav_f69,574234__kbrecordzz__groove-metal-break-6.wav,289248,293440,0.014101688188450937,-532.28986,128.03326,13.167944,46.600094,10.242122,23.163315,13.919237,3.3717868,3.236731,5.065568,4.5259957,3.887422,1.717263
574234__kbrecordzz__groove-metal-break-6.wav,574234__kbrecordzz__groove-metal-break-6.wav_f70,574234__kbrecordzz__groove-metal-break-6.wav,293440,297632,0.005858178812128897,-573.6848,92.96004,2.4847367,31.533018,13.452968,18.956072,3.307599,9.961297,-6.524417,8.774665,-10.348497,-5.6168237,-11.308576
574234__kbrecordzz__groove-metal-break-6.wav,574234__kbrecordzz__groove-metal-break-6.wav_f71,574234__kbrecordzz__groove-metal-break-6.wav,297632,301824,0.0076957840955894415,-516.90393,108.316826,14.456675,22.193138,-5.647674,-6.630648,-6.399137,-9.727354,-7.2387295,-5.5220366,-5.8482175,-2.7500803,-2.288471
574234__kbrecordzz__groove-metal-break-6.wav,574234__kbrecordzz__groove-metal-break-6.wav_f72,574234__kbrecordzz__groove-metal-break-6.wav,301824,306016,0.005130140381004974,-554.1192,97.8321,11.8057,25.125137,1.0744599,4.8067994,2.3664296,-3.0460653,-1.3533915,-5.9575624,-6.867112,-2.7882078,-4.213191
574234__kbrecordzz__groove-metal-break-6.wav,574234__kbrecordzz__groove-metal-break-6.wav_f73,574234__kbrecordzz__groove-metal-break-6.wav,306016,310208,0.014174415865017257,-538.8802,113.96226,22.330597,30.114145,7.7741,24.110025,10.711622,0.5761714,4.4369316,0.49702933,-5.0622582,-1.1771159,-4.4466915
574234__kbrecordzz__groove-metal-break-6.wav,574234__kbrecordzz__groove-metal-break-6.wav_f74,574234__kbrecordzz__groove-metal-break-6.wav,310208,314400,0.005344364024300612,-613.5253,121.07106,21.988947,27.25176,14.6696205,8.52381,6.530819,11.811756,0.7403547,9.278265,-5.795676,-1.586682,-0.60152656
574234__kbrecordzz__groove-metal-break-6.wav,574234__kbrecordzz__groove-metal-break-6.wav_f75,574234__kbrecordzz__groove-metal-break-6.wav,314400,318592,0.004793203059043593,-646.749,105.72787,36.268227,42.26536,10.1801405,12.472691,8.757932,5.7234836,-1.7916062,2.3228304,1.1581458,7.140337,-1.8137119
574234__kbrecordzz__groove-metal-break-6.wav,574234__kbrecordzz__groove-metal-break-6.wav_f76,574234__kbrecordzz__groove-metal-break-6.wav,318592,322784,0.006278037114907767,-577.5612,127.2095,-10.411534,47.478584,9.1613655,18.985361,16.204927,12.503666,-3.3225539,-0.48675445,-9.286344,-3.6607218,-4.8334193
574234__kbrecordzz__groove-metal-break-6.wav,574234__kbrecordzz__groove-metal-break-6.wav_f77,574234__kbrecordzz__groove-metal-break-6.wav,322784,326976,0.008367508422327405,-607.91205,112.43166,-28.601143,42.06905,-4.808703,13.788435,3.539015,-1.3262618,-13.031882,-7.506321,-24.570711,-10.907535,-10.5941105
574234__kbrecordzz__groove-metal-break-6.wav,574234__kbrecordzz__groove-metal-break-6.wav_f78,574234__kbrecordzz__groove-metal-break-6.wav,326976,331168,0.014252017472536509,-557.3781,121.15527,13.298158,34.13324,11.096218,15.977256,15.626855,5.447683,13.035685,3.8969495,3.3483372,-1.6175623,3.275998
574234__kbrecordzz__groove-metal-break-6.wav,574234__kbrecordzz__groove-metal-break-6.wav_f79,574234__kbrecordzz__groove-metal-break-6.wav,331168,335360,0.006706540821162799,-591.7034,133.31061,-5.499149,44.90772,9.499215,18.825846,14.356804,7.9139905,4.5812697,-1.5435045,-4.753874,-3.4011402,-0.7813962
574234__kbrecordzz__groove-metal-break-6.wav,574234__kbrecordzz__groove-metal-break-6.wav_f80,574234__kbrecordzz__groove-metal-break-6.wav,335360,339552,0.006873017504015042,-573.4597,133.42636,-4.5309577,46.744457,4.509175,12.666115,3.9874067,0.28463984,-1.1419924,-1.0349004,0.9131998,2.3307524,4.3293843
574234__kbrecordzz__groove-metal-break-6.wav,574234__kbrecordzz__groove-metal-break-6.wav_f81,574234__kbrecordzz__groove-metal-break-6.wav,339552,343744,0.004513296917194628,-637.5859,154.87968,-15.957807,55.666912,-9.597963,27.024586,11.599957,14.381825,-0.365212,-2.8790555,-5.033674,-1.4171183,-1.5871067
574234__kbrecordzz__groove-metal-break-6.wav,574234__kbrecordzz__groove-metal-break-6.wav_f82,574234__kbrecordzz__groove-metal-break-6.wav,343744,347936,0.013806303948846483,-535.0015,133.71712,5.2791595,45.77986,8.556798,28.019367,24.41907,9.126066,3.4808552,-0.6878317,3.3132458,-4.110966,3.979514
